SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
WSH28_summer	Cytb	SRR7550095	SAMN09702469	PRJNA482277
WSH29_summer	Cytb	SRR7550096	SAMN09702470	PRJNA482277
WSH30_summer	Cytb	SRR7550097	SAMN09702471	PRJNA482277
WSH31_summer	Cytb	SRR7550098	SAMN09702472	PRJNA482277
WSH32_summer	Cytb	SRR7550099	SAMN09702473	PRJNA482277
WSH33_summer	Cytb	SRR7550100	SAMN09702474	PRJNA482277
WSH34_summer	Cytb	SRR7550101	SAMN09702475	PRJNA482277
WSH35_summer	Cytb	SRR7550102	SAMN09702476	PRJNA482277
WSH36_summer	Cytb	SRR7550103	SAMN09702477	PRJNA482277
WSH37_summer	Cytb	SRR7549714	SAMN09702478	PRJNA482277
WSH38_summer	Cytb	SRR7550070	SAMN09702479	PRJNA482277
WSH39_summer	Cytb	SRR7550071	SAMN09702480	PRJNA482277
WSH40_summer	Cytb	SRR7550068	SAMN09702481	PRJNA482277
WOF01_winter	Cytb	SRR8135304	SAMN09702482	PRJNA482277
WOF02_winter	Cytb	SRR8135301	SAMN09702483	PRJNA482277
WOF03_winter	Cytb	SRR8135302	SAMN09702484	PRJNA482277
WOF04_winter	Cytb	SRR8135288	SAMN09702485	PRJNA482277
WOF05_winter	Cytb	SRR8135287	SAMN09702486	PRJNA482277
WOF06_winter	Cytb	SRR8135290	SAMN09702487	PRJNA482277
WOF07_winter	Cytb	SRR8135289	SAMN09702488	PRJNA482277
WOF08_winter	Cytb	SRR8135284	SAMN09702489	PRJNA482277
WOF09_winter_mid	Cytb	SRR8135283	SAMN09702490	PRJNA482277
WOF10_winter_mid	Cytb	SRR8135286	SAMN09702491	PRJNA482277
WOF11_winter_mid	Cytb	SRR8135285	SAMN09702492	PRJNA482277
WOF12_winter_mid	Cytb	SRR8135282	SAMN09702493	PRJNA482277
WOF13_winter_mid	Cytb	SRR8135281	SAMN09702494	PRJNA482277
WOF14_winter_mid	Cytb	SRR8135241	SAMN09702495	PRJNA482277
WOF15_winter_mid	Cytb	SRR8135242	SAMN09702496	PRJNA482277
WOF17_winter	Cytb	SRR8135243	SAMN09702497	PRJNA482277
WOF18_winter	Cytb	SRR8135244	SAMN09702498	PRJNA482277
WOF19_winter	Cytb	SRR8135237	SAMN09702499	PRJNA482277
WOF20_winter	Cytb	SRR8135238	SAMN09702500	PRJNA482277
WOF21_winter	Cytb	SRR8135239	SAMN09702501	PRJNA482277
WOF22_winter	Cytb	SRR8135240	SAMN09702502	PRJNA482277
WOF23_winter	Cytb	SRR8135245	SAMN09702503	PRJNA482277
WOF24_winter	Cytb	SRR8135246	SAMN09702504	PRJNA482277
WOF25_winter_mid	Cytb	SRR8135264	SAMN09702505	PRJNA482277
WOF26_winter_mid	Cytb	SRR8135263	SAMN09702506	PRJNA482277
WOF27_winter_mid	Cytb	SRR8135262	SAMN09702507	PRJNA482277
WOF28_winter_mid	Cytb	SRR8135261	SAMN09702508	PRJNA482277
WOF30_winter_mid	Cytb	SRR8135268	SAMN09702509	PRJNA482277
WOF31_winter_mid	Cytb	SRR8135267	SAMN09702510	PRJNA482277
WOF32_winter_mid	Cytb	SRR8135266	SAMN09702511	PRJNA482277
WOF33_winter	Cytb	SRR8135265	SAMN09702512	PRJNA482277
WOF34_winter	Cytb	SRR8135270	SAMN09702513	PRJNA482277
WOF35_winter	Cytb	SRR8135269	SAMN09702514	PRJNA482277
WOF36_winter	Cytb	SRR8135321	SAMN09702515	PRJNA482277
WOF37_winter	Cytb	SRR8135322	SAMN09702516	PRJNA482277
WOF38_winter	Cytb	SRR8135319	SAMN09702517	PRJNA482277
WOF39_winter	Cytb	SRR8135320	SAMN09702518	PRJNA482277
WOF40_winter	Cytb	SRR8135317	SAMN09702519	PRJNA482277
WOF42_winter	Cytb	SRR8135318	SAMN09702520	PRJNA482277
WOF43_winter	Cytb	SRR8135315	SAMN09702521	PRJNA482277
WOF44_winter	Cytb	SRR8135316	SAMN09702522	PRJNA482277
WOF45_winter	Cytb	SRR8135313	SAMN09702523	PRJNA482277
WOF46_winter	Cytb	SRR8135314	SAMN09702524	PRJNA482277
WOF47_winter	Cytb	SRR8135166	SAMN09702525	PRJNA482277
WOF48_winter	Cytb	SRR8135165	SAMN09702526	PRJNA482277
WOF49_winter	Cytb	SRR8135168	SAMN09702527	PRJNA482277
WOF50_winter	Cytb	SRR8135167	SAMN09702528	PRJNA482277
WSH01_winter	Cytb	SRR8135162	SAMN09702529	PRJNA482277
WSH02_winter	Cytb	SRR8135161	SAMN09702530	PRJNA482277
WSH03_winter	Cytb	SRR8135164	SAMN09702531	PRJNA482277
WSH04_winter	Cytb	SRR8135163	SAMN09702532	PRJNA482277
WSH05_winter	Cytb	SRR8135160	SAMN09702533	PRJNA482277
WSH06_winter	Cytb	SRR8135159	SAMN09702534	PRJNA482277
WSH07_winter	Cytb	SRR8135181	SAMN09702535	PRJNA482277
WSH08_winter	Cytb	SRR8135182	SAMN09702536	PRJNA482277
WSH09_winter	Cytb	SRR8135183	SAMN09702537	PRJNA482277
WSH10_winter	Cytb	SRR8135184	SAMN09702538	PRJNA482277
